"AssetPath","Address","Status","FromFunction","FromEntry","RefAddr","Note"
"CommonUI\Menu_tap_btn.tga","01ad7890","REQUIRED_ADJACENT_XREF","FUN_012b9480","012b9480","012b98e9",""
"Control_G\Popup\N2Dlg_Line.tga","01ae8ad0","REQUIRED_COPIED_XREF","FUN_01268e20","01268e20","01268fd0",""
"Control_G\Popup\N2Dlg_Line.tga","01ae8ad0","REQUIRED_ADJACENT_XREF","FUN_013c06e0","013c06e0","013c0841",""
"Control_G\Popup\N2Dlg_Line.tga","01ae8ad0","REQUIRED_ADJACENT_XREF","FUN_013c06e0","013c06e0","013c086c",""
"Control_G\Popup\N2Dlg_Line.tga","01ae8ad0","REQUIRED_ADJACENT_XREF","FUN_0146fd50","0146fd50","0146ff7a",""
"Control_G\Popup\N2Dlg_Line.tga","01ae8ad0","REQUIRED_ADJACENT_XREF","FUN_0146fd50","0146fd50","0146ffa5",""
"EI_Item\Outbox_1.tga","01ad6ee8","REQUIRED_ADJACENT_XREF","FUN_010ebd40","010ebd40","010ebd8d",""
"EI_Item\Outbox_1.tga","01ad6ee8","REQUIRED_ADJACENT_XREF","FUN_010ebd40","010ebd40","010ebeec",""
"EI_Item\Outbox_1.tga","01ad6ee8","REQUIRED_ADJACENT_XREF","FUN_01102240","01102240","01102b1e",""
"EI_Item\Outbox_1.tga","01ad6ee8","REQUIRED_ADJACENT_XREF","FUN_01102240","01102240","01102b49",""
"EI_Item\Outbox_1.tga","01ad6ee8","REQUIRED_ADJACENT_XREF","FUN_01105d60","01105d60","01105e79",""
"EI_Item\Outbox_1.tga","01ad6ee8","REQUIRED_ADJACENT_XREF","FUN_01105d60","01105d60","01105e99",""
"EI_Item\Outbox_1.tga","01ad6ee8","REQUIRED_ADJACENT_XREF","FUN_01106e60","01106e60","01106fce",""
"EI_Item\Outbox_1.tga","01ad6ee8","REQUIRED_ADJACENT_XREF","FUN_01106e60","01106e60","01107005",""
"EI_Item\Outbox_1.tga","01ad6ee8","REQUIRED_ADJACENT_XREF","FUN_011085b0","011085b0","01108e9f",""
"EI_Item\Outbox_1.tga","01ad6ee8","REQUIRED_ADJACENT_XREF","FUN_011085b0","011085b0","01108eca",""
"EI_Item\Outbox_1.tga","01ad6ee8","REQUIRED_COPIED_XREF","FUN_012b1e10","012b1e10","012b1e87",""
"EI_Item\Outbox_2.tga","01aeb184","REQUIRED_COPIED_XREF","FUN_012b1e10","012b1e10","012b1e90",""
"EI_Item\Outbox_3.tga","01aeb1d0","REQUIRED_COPIED_XREF","FUN_012b1e10","012b1e10","012b1e99",""
"EI_Item\Outbox_4.tga","01aeb1b8","REQUIRED_COPIED_XREF","FUN_012b1e10","012b1e10","012b1ea2",""
"EI_Item\Outbox_5.tga","01ad8674","REQUIRED_ADJACENT_XREF","FUN_01105d60","01105d60","01105e5e",""
"EI_Item\Outbox_5.tga","01ad8674","REQUIRED_ADJACENT_XREF","FUN_01105d60","01105d60","01105e99",""
"EI_Item\Outbox_5.tga","01ad8674","REQUIRED_ADJACENT_XREF","FUN_01106e60","01106e60","01106fdb",""
"EI_Item\Outbox_5.tga","01ad8674","REQUIRED_ADJACENT_XREF","FUN_01106e60","01106e60","01107005",""
"EI_Item\Outbox_5.tga","01ad8674","REQUIRED_COPIED_XREF","FUN_012b1e10","012b1e10","012b1eab",""
"EquipSystem\ArrowBtn_Down.tga","01ae8cd0","ADDITIONAL_VISIBLE_NO_XREF","","","","no xref row found by targeted sweep"
"EquipSystem\ArrowBtn_Up.tga","01ae8cf0","ADDITIONAL_VISIBLE_NO_XREF","","","","no xref row found by targeted sweep"
"EquipSystem\glow_bg.tga","01ae8b2c","REQUIRED_COPIED_XREF","FUN_0126ae30","0126ae30","0126af11",""
"EquipSystem\glow_bg.tga","01ae8b2c","REQUIRED_COPIED_XREF","FUN_0126ae30","0126ae30","0126af39",""
"EquipSystem\Mail_List_Box_1.tga","01ae8a6c","REQUIRED_COPIED_XREF","FUN_01268e20","01268e20","01268fb4",""
"EquipSystem\Recharge_bg.tga","01ae8ed4","REQUIRED_COPIED_XREF","FUN_01278ad0","01278ad0","01278b5b",""
"EquipSystem\Recharge_bg.tga","01ae8ed4","REQUIRED_ADJACENT_XREF","FUN_012b9480","012b9480","012b950b",""
"EquipSystem\Recharge_gauge.tga","01aeaca4","EXCLUDED_ADJACENT_SYSTEM","FUN_012a3690","012a3690","012a3a7a",""
"EquipSystem\Recharge_slot.tga","01aeab5c","EXCLUDED_ADJACENT_SYSTEM","FUN_012a2a80","012a2a80","012a2cc0",""
"EquipSystem\Recharge_slot.tga","01aeab5c","EXCLUDED_ADJACENT_SYSTEM","FUN_012a2a80","012a2a80","012a2cee",""
"EquipSystem\Recharge_slot.tga","01aeab5c","EXCLUDED_ADJACENT_SYSTEM","FUN_012ab880","012ab880","012abaa8",""
"EquipSystem\Recharge_slot.tga","01aeab5c","EXCLUDED_ADJACENT_SYSTEM","FUN_012ab880","012ab880","012abad6",""
"EquipSystem\Recharge_slot.tga","01aeab5c","EXCLUDED_ADJACENT_SYSTEM","FUN_012abd00","012abd00","012abf3a",""
"EquipSystem\Recharge_slot.tga","01aeab5c","EXCLUDED_ADJACENT_SYSTEM","FUN_012abd00","012abd00","012abf68",""
"EquipSystem\Recharge_win.tga","01aeadac","EXCLUDED_ADJACENT_SYSTEM","FUN_012a79f0","012a79f0","012a7af3",""
"EquipSystem\Recharge_win.tga","01aeadac","EXCLUDED_ADJACENT_SYSTEM","FUN_012a79f0","012a79f0","012a7b24",""
"EquipSystem\Upgrade_Destroy_Effect.dds","01ae8bac","REQUIRED_COPIED_XREF","FUN_0126b5b0","0126b5b0","0126b7b7",""
"EquipSystem\Upgrade_Destroy_Effect.dds","01ae8bac","REQUIRED_COPIED_XREF","FUN_012703e0","012703e0","012705e7",""
"EquipSystem\Upgrade_Destroy_Effect.dds","01ae8bac","REQUIRED_COPIED_XREF","FUN_01275e30","01275e30","012760cf",""
"EquipSystem\Upgrade_Empty_Line.tga","01ae8b88","REQUIRED_COPIED_XREF","FUN_0126b830","0126b830","0126b8fd",""
"EquipSystem\Upgrade_Empty_Line.tga","01ae8b88","REQUIRED_COPIED_XREF","FUN_0126b830","0126b830","0126ba4e",""
"EquipSystem\Upgrade_Empty_Line.tga","01ae8b88","REQUIRED_COPIED_XREF","FUN_01270660","01270660","0127072d",""
"EquipSystem\Upgrade_Empty_Line.tga","01ae8b88","REQUIRED_COPIED_XREF","FUN_01270660","01270660","0127087e",""
"EquipSystem\Upgrade_Empty_Line.tga","01ae8b88","REQUIRED_COPIED_XREF","FUN_01276140","01276140","01276210",""
"EquipSystem\Upgrade_Empty_Line.tga","01ae8b88","REQUIRED_COPIED_XREF","FUN_01276140","01276140","01276364",""
"EquipSystem\Upgrade_Empty_Line.tga","01ae8b88","REQUIRED_COPIED_XREF","FUN_01276140","01276140","012764c8",""
"EquipSystem\Upgrade_Empty_Line.tga","01ae8b88","REQUIRED_COPIED_XREF","FUN_01276140","01276140","0127661c",""
"EquipSystem\Upgrade_Empty_Line.tga","01ae8b88","REQUIRED_COPIED_XREF","FUN_01276140","01276140","01276780",""
