"OriginalFunction","FunctionAddress","CopiedFile","RefAddress","TargetAddress","TargetSymbol","Value"
"FUN_011b0b60","011b0b60","decompiled\ExtraInventoryUI\Categories\BuildTicketInventoryCategory.original.c","011b0cf3","01ae1584","s_EXTRA_INVEN_TICKET_BTN_ALLGET_01ae1584","EXTRA_INVEN_TICKET_BTN_ALLGET"
"FUN_0128ef50","0128ef50","decompiled\ExtraInventoryUI\CreateExtraInventoryUI.original.c","0128f024","01aea07c","s_ExtraInventoryUI_01aea07c","ExtraInventoryUI"
"FUN_01056780","01056780","decompiled\ExtraInventoryUI\ResolveExtraInventoryCategoryText.original.c","010567a0","01ad0d38","s_EXTRA_INVEN_LIST_SEAL_01ad0d38","EXTRA_INVEN_LIST_SEAL"
"FUN_01056780","01056780","decompiled\ExtraInventoryUI\ResolveExtraInventoryCategoryText.original.c","010567ed","01ad0d68","s_EXTRA_INVEN_LIST_Evolution_01ad0d68","EXTRA_INVEN_LIST_Evolution"
"FUN_01056780","01056780","decompiled\ExtraInventoryUI\ResolveExtraInventoryCategoryText.original.c","010567fb","01ad0d84","s_EXTRA_INVEN_LIST_DIGITAMA_01ad0d84","EXTRA_INVEN_LIST_DIGITAMA"
"FUN_01056780","01056780","decompiled\ExtraInventoryUI\ResolveExtraInventoryCategoryText.original.c","01056809","01ad0da0","s_EXTRA_INVEN_LIST_MATERIAL_01ad0da0","EXTRA_INVEN_LIST_MATERIAL"
"caseD_c","010567d8","decompiled\ExtraInventoryUI\ResolveExtraInventoryTicketTextCase.original.c","010567df","01ad0d50","s_EXTRA_INVEN_LIST_TICKET_01ad0d50","EXTRA_INVEN_LIST_TICKET"
"FUN_013a90e0","013a90e0","decompiled\ExtraInventoryUI\ResolveExtraInventoryWindowTitle.original.c","013a9605","01ad2900","s_ITEM_SCAN_OUTPUT_TEXT_01ad2900","ITEM_SCAN_OUTPUT_TEXT"
"FUN_013a90e0","013a90e0","decompiled\ExtraInventoryUI\ResolveExtraInventoryWindowTitle.original.c","013a9673","01ad2918","s_ITEM_RECOVERY_OUTPUT_TEXT_01ad2918","ITEM_RECOVERY_OUTPUT_TEXT"
"FUN_013a90e0","013a90e0","decompiled\ExtraInventoryUI\ResolveExtraInventoryWindowTitle.original.c","013a93c7","01ad55c0","s_MAILBOX_TITLE_01ad55c0","MAILBOX_TITLE"
"FUN_013a90e0","013a90e0","decompiled\ExtraInventoryUI\ResolveExtraInventoryWindowTitle.original.c","013a997d","01ad9674","s_EVOLUTION_ADVICE_TITLE_01ad9674","EVOLUTION_ADVICE_TITLE"
"FUN_013a90e0","013a90e0","decompiled\ExtraInventoryUI\ResolveExtraInventoryWindowTitle.original.c","013a9c43","01adb490","s_TAMERSTATUS_TITLE_TEXT_01adb490","TAMERSTATUS_TITLE_TEXT"
"FUN_013a90e0","013a90e0","decompiled\ExtraInventoryUI\ResolveExtraInventoryWindowTitle.original.c","013a9559","01ae1120","s_EXTRA_INVEN_TITLE_01ae1120","EXTRA_INVEN_TITLE"
"FUN_013a90e0","013a90e0","decompiled\ExtraInventoryUI\ResolveExtraInventoryWindowTitle.original.c","013a9b96","01ae2384","s_AUTOPOTION_TITLE_01ae2384","AUTOPOTION_TITLE"
