"CopiedFile","SymbolInC","Address","Value","Source"
"decompiled\ExtraInventoryUI\ResolveExtraInventoryCategoryText.original.c","s_EXTRA_INVEN_LIST_MATERIAL_01ad0da0","01ad0da0","EXTRA_INVEN_LIST_MATERIAL","copied-c-symbol"
"decompiled\ExtraInventoryUI\ResolveExtraInventoryTicketTextCase.original.c","s_EXTRA_INVEN_LIST_TICKET_01ad0d50","01ad0d50","EXTRA_INVEN_LIST_TICKET","copied-c-symbol"
"decompiled\ExtraInventoryUI\ResolveExtraInventoryWindowTitle.original.c","s_ITEM_SCAN_OUTPUT_TEXT_01ad2900","01ad2900","ITEM_SCAN_OUTPUT_TEXT","copied-c-symbol"
"decompiled\ExtraInventoryUI\ResolveExtraInventoryWindowTitle.original.c","s_ITEM_RECOVERY_OUTPUT_TEXT_01ad2918","01ad2918","ITEM_RECOVERY_OUTPUT_TEXT","copied-c-symbol"
"decompiled\ExtraInventoryUI\ResolveExtraInventoryWindowTitle.original.c","s_MAILBOX_TITLE_01ad55c0","01ad55c0","MAILBOX_TITLE","copied-c-symbol"
"decompiled\ExtraInventoryUI\ResolveExtraInventoryWindowTitle.original.c","s_EVOLUTION_ADVICE_TITLE_01ad9674","01ad9674","EVOLUTION_ADVICE_TITLE","copied-c-symbol"
"decompiled\ExtraInventoryUI\ResolveExtraInventoryWindowTitle.original.c","s_TAMERSTATUS_TITLE_TEXT_01adb490","01adb490","TAMERSTATUS_TITLE_TEXT","copied-c-symbol"
"decompiled\ExtraInventoryUI\ResolveExtraInventoryWindowTitle.original.c","s_EXTRA_INVEN_TITLE_01ae1120","01ae1120","EXTRA_INVEN_TITLE","copied-c-symbol"
"decompiled\ExtraInventoryUI\ResolveExtraInventoryWindowTitle.original.c","s_AUTOPOTION_TITLE_01ae2384","01ae2384","AUTOPOTION_TITLE","copied-c-symbol"
"decompiled\ExtraInventoryUI\ResolveExtraInventoryWindowTitle.original.c","s_DMG_SKINS_TITLE_01ae28b4","01ae28b4","DMG_SKINS_TITLE","copied-c-symbol"
"decompiled\ExtraInventoryUI\ResolveExtraInventoryWindowTitle.original.c","s_UNION_TITLE_01ae3bc8","01ae3bc8","UNION_TITLE","copied-c-symbol"
"decompiled\ExtraInventoryUI\ResolveExtraInventoryWindowTitle.original.c","s_PARTYFIND_MAINUI_TITLE_01ae4dac","01ae4dac","PARTYFIND_MAINUI_TITLE","copied-c-symbol"
"decompiled\ExtraInventoryUI\ResolveExtraInventoryWindowTitle.original.c","s_Preset_Title_Text_01ae5880","01ae5880","Preset_Title_Text","copied-c-symbol"
"decompiled\ExtraInventoryUI\ResolveExtraInventoryWindowTitle.original.c","s_INVENTORY_TITLE_TEXT_01aedbdc","01aedbdc","INVENTORY_TITLE_TEXT","copied-c-symbol"
"decompiled\ExtraInventoryUI\ResolveExtraInventoryWindowTitle.original.c","s_COMMON_TXT_COMMUNITY_01aeee58","01aeee58","COMMON_TXT_COMMUNITY","copied-c-symbol"
"decompiled\ExtraInventoryUI\ResolveExtraInventoryWindowTitle.original.c","s_DAMAGEMETER_TITLE_01aef734","01aef734","DAMAGEMETER_TITLE","copied-c-symbol"
"decompiled\ExtraInventoryUI\ResolveExtraInventoryWindowTitle.original.c","s_COMMON_TXT_FRIEND_01af0740","01af0740","COMMON_TXT_FRIEND","copied-c-symbol"
"decompiled\ExtraInventoryUI\ResolveExtraInventoryWindowTitle.original.c","s_COMMON_TXT_ACHIEVEMENT_01af1b68","01af1b68","COMMON_TXT_ACHIEVEMENT","copied-c-symbol"
"decompiled\ExtraInventoryUI\ResolveExtraInventoryWindowTitle.original.c","s_SEALMASTER_SEAL_TITLE_01af1dbc","01af1dbc","SEALMASTER_SEAL_TITLE","copied-c-symbol"
"decompiled\ExtraInventoryUI\ResolveExtraInventoryWindowTitle.original.c","s_MENU_TXT_QUEST_LIST_01af54ec","01af54ec","MENU_TXT_QUEST_LIST","copied-c-symbol"
"decompiled\ExtraInventoryUI\ResolveExtraInventoryWindowTitle.original.c","s_DIGIMONSTATUS_TITLE_TEXT_01af5500","01af5500","DIGIMONSTATUS_TITLE_TEXT","copied-c-symbol"
"decompiled\ExtraInventoryUI\ResolveExtraInventoryWindowTitle.original.c","s_MENU_TXT_ENCYCLOPEDIA_01af5544","01af5544","MENU_TXT_ENCYCLOPEDIA","copied-c-symbol"
"decompiled\ExtraInventoryUI\ResolveExtraInventoryWindowTitle.original.c","s_MENU_TXT_CASH_STORAGE_01af574c","01af574c","MENU_TXT_CASH_STORAGE","copied-c-symbol"
"decompiled\ExtraInventoryUI\ResolveExtraInventoryWindowTitle.original.c","s_MENU_TXT_D_COMMERCE_01af5a40","01af5a40","MENU_TXT_D_COMMERCE","copied-c-symbol"
"decompiled\ExtraInventoryUI\Seal\BuildExtraInventoryNotificationFront.original.c","s_SealMaster_sealmaster_bg_01_tga_01ae104c","01ae104c","SealMaster\sealmaster_bg_01.tga","copied-c-symbol"
"decompiled\ExtraInventoryUI\Seal\BuildExtraInventoryNotificationFront.original.c","s_DigiCombine_DigiCombine_CardFron_01ae106c","01ae106c","DigiCombine\DigiCombine_CardFront.dds","copied-c-symbol"
"decompiled\ExtraInventoryUI\Seal\BuildSealInventoryGrid.original.c","s_Control_G_Popup_N2Dlg5_tga_01ae0f00","01ae0f00","Control_G\Popup\N2Dlg5.tga","copied-c-symbol"
"decompiled\ExtraInventoryUI\Seal\BuildSealInventoryGrid.original.c","s_SealMaster_sealmaster_highlight__01ae0f60","01ae0f60","SealMaster\sealmaster_highlight.tga","copied-c-symbol"
"decompiled\ExtraInventoryUI\Seal\BuildSealOverviewDropdown.original.c","s_ENCY_DIGIMON_GRADE_N_01ad0628","01ad0628","ENCY_DIGIMON_GRADE_N","copied-c-symbol"
"decompiled\ExtraInventoryUI\Seal\BuildSealOverviewDropdown.original.c","s_ENCY_DIGIMON_GRADE_A_01ad0640","01ad0640","ENCY_DIGIMON_GRADE_A","copied-c-symbol"
"decompiled\ExtraInventoryUI\Seal\BuildSealOverviewDropdown.original.c","s_ENCY_DIGIMON_GRADE_APLUS_01ad0658","01ad0658","ENCY_DIGIMON_GRADE_APLUS","copied-c-symbol"
"decompiled\ExtraInventoryUI\Seal\BuildSealOverviewDropdown.original.c","s_ENCY_DIGIMON_GRADE_S_01ad0674","01ad0674","ENCY_DIGIMON_GRADE_S","copied-c-symbol"
"decompiled\ExtraInventoryUI\Seal\BuildSealOverviewDropdown.original.c","s_ENCY_DIGIMON_GRADE_SPLUS_01ad068c","01ad068c","ENCY_DIGIMON_GRADE_SPLUS","copied-c-symbol"
"decompiled\ExtraInventoryUI\Seal\BuildSealOverviewDropdown.original.c","s_ENCY_DIGIMON_GRADE_SS_01ad06a8","01ad06a8","ENCY_DIGIMON_GRADE_SS","copied-c-symbol"
