"CopiedFile","SymbolInC","Address","Value","Source"
"decompiled\DetailInfoUI\BuildTamerDetailRoot.original.c","s_DetailInfo_TamerStatus_Win_03_bg_01ae2b68","01ae2b68","DetailInfo\TamerStatus_Win_03_bg.tga","copied-c-symbol"
"decompiled\DetailInfoUI\BuildTamerDetailRoot.original.c","s_DetailInfo_TamerStatus_Win_04_bg_01ae33fc","01ae33fc","DetailInfo\TamerStatus_Win_04_bg.tga","copied-c-symbol"
"decompiled\DetailInfoUI\BuildTamerDigimonPreviewSection.original.c","s_COMMON_TXT_SHORT_LEVEL_01ac5990","01ac5990","COMMON_TXT_SHORT_LEVEL","copied-c-symbol"
"decompiled\DetailInfoUI\BuildTamerDigimonPreviewSection.original.c","s_DetailInfo_TamerStatus_Digimon_T_01ae2b90","01ae2b90","DetailInfo\TamerStatus_Digimon_Tamer.tga","copied-c-symbol"
"decompiled\DetailInfoUI\BuildTamerDigimonPreviewSection.original.c","s_DetailInfo_Storage_M_field_a_tga_01ae2bbc","01ae2bbc","DetailInfo\Storage_M_field_a.tga","copied-c-symbol"
"decompiled\DetailInfoUI\BuildTamerEquipmentSection.original.c","s_DMG_SKINS_Mini_Out_btn_a_tga_01ad83b4","01ad83b4","DMG_SKINS\Mini_Out_btn_a.tga","copied-c-symbol"
"decompiled\DetailInfoUI\BuildTamerEquipmentSection.original.c","s_MAINBAR_MEMU_SEAL_MASTER_01ae32f8","01ae32f8","MAINBAR_MEMU_SEAL_MASTER","copied-c-symbol"
"decompiled\DetailInfoUI\BuildTamerEquipmentSection.original.c","s_DETAIL_INFO_EQUIP_01ae3460","01ae3460","DETAIL_INFO_EQUIP","copied-c-symbol"
"decompiled\DetailInfoUI\BuildTamerObtainedAttributes.original.c","s_DETAIL_INFO_DATA_01ae3424","01ae3424","DETAIL_INFO_DATA","copied-c-symbol"
"decompiled\DetailInfoUI\BuildVisibilityToggleButton.original.c","s_DetailInfo_Autocrop_OFF_Btn_bmp_01ae2fc4","01ae2fc4","DetailInfo\Autocrop_OFF_Btn.bmp","copied-c-symbol"
"decompiled\DetailInfoUI\BuildVisibilityToggleButton.original.c","s_DetailInfo_Autocrop_ON_Btn_bmp_01ae2fe4","01ae2fe4","DetailInfo\Autocrop_ON_Btn.bmp","copied-c-symbol"
"decompiled\DetailInfoUI\FinalizeDigimonDetailPanel.original.c","s_list_too_long_01abdaa4","01abdaa4","list too long","copied-c-symbol"
"decompiled\DetailInfoUI\PrepareTamerDetailControls.original.c","s_list_too_long_01abdaa4","01abdaa4","list too long","copied-c-symbol"
"decompiled\DetailInfoUI\RenderDigimonDataSection.original.c","s_DETAIL_INFO_DIGIDATA_01ae2be0","01ae2be0","DETAIL_INFO_DIGIDATA","copied-c-symbol"
"decompiled\DetailInfoUI\ResolveDetailInfoStatText.original.c","s_COMMON_TXT_DS_01ac50e0","01ac50e0","COMMON_TXT_DS","copied-c-symbol"
"decompiled\DetailInfoUI\ResolveDetailInfoStatText.original.c","s_COMMON_TXT_STAT_DEFENSE_01ac5158","01ac5158","COMMON_TXT_STAT_DEFENSE","copied-c-symbol"
"decompiled\DetailInfoUI\ResolveDetailInfoStatText.original.c","s_COMMON_TXT_ATTACK_SPEED_01ac5194","01ac5194","COMMON_TXT_ATTACK_SPEED","copied-c-symbol"
"decompiled\DetailInfoUI\ResolveDetailInfoStatText.original.c","s_COMMON_TXT_STAT_HIT_RATE_01ac51c4","01ac51c4","COMMON_TXT_STAT_HIT_RATE","copied-c-symbol"
"decompiled\DetailInfoUI\ResolveDetailInfoStatText.original.c","s_DETAIL_INFO_ELEDMENT_DAMAGE_01ac58e4","01ac58e4","DETAIL_INFO_ELEDMENT_DAMAGE","copied-c-symbol"
"decompiled\DetailInfoUI\ResolveDetailInfoStatText.original.c","s_TOOLTIP_ENCHANT_EXPLAIN_TITLE_AT_01ade08c","01ade08c","TOOLTIP_ENCHANT_EXPLAIN_TITLE_AT","copied-c-symbol"
"decompiled\DetailInfoUI\ResolveDetailInfoStatText.original.c","s_TOOLTIP_ENCHANT_EXPLAIN_TITLE_CR_01ae3488","01ae3488","TOOLTIP_ENCHANT_EXPLAIN_TITLE_CR","copied-c-symbol"
"decompiled\DetailInfoUI\ResolveDetailInfoStatText.original.c","s_TOOLTIP_ENCHANT_EXPLAIN_TITLE_HP_01ae34ac","01ae34ac","TOOLTIP_ENCHANT_EXPLAIN_TITLE_HP","copied-c-symbol"
"decompiled\DetailInfoUI\ResolveDetailInfoStatText.original.c","s_DETAIL_INFO_CRIDAMAGE_01ae34d0","01ae34d0","DETAIL_INFO_CRIDAMAGE","copied-c-symbol"
"decompiled\DetailInfoUI\ResolveDetailInfoStatText.original.c","s_DETAIL_INFO_SCD_01ae34e8","01ae34e8","DETAIL_INFO_SCD","copied-c-symbol"
"decompiled\DetailInfoUI\ResolveDetailInfoStatText.original.c","s_TOOLTIP_ENCHANT_EXPLAIN_TITLE_BL_01ae34f8","01ae34f8","TOOLTIP_ENCHANT_EXPLAIN_TITLE_BL","copied-c-symbol"
"decompiled\DetailInfoUI\ResolveDetailInfoStatText.original.c","s_DETAIL_INFO_SD_01ae351c","01ae351c","DETAIL_INFO_SD","copied-c-symbol"
"decompiled\DetailInfoUI\ResolveDetailInfoStatText.original.c","s_TOOLTIP_ENCHANT_EXPLAIN_TITLE_EV_01ae352c","01ae352c","TOOLTIP_ENCHANT_EXPLAIN_TITLE_EV","copied-c-symbol"
"decompiled\DetailInfoUI\ResolveSealMasterDsTextCase.original.c","s_SEALMASTER_STATE_DS_01ae32e4","01ae32e4","SEALMASTER_STATE_DS","copied-c-symbol"
"decompiled\DetailInfoUI\ResolveSealMasterStatText.original.c","s_SEALMASTER_STATE_AT_01ad7490","01ad7490","SEALMASTER_STATE_AT","copied-c-symbol"
"decompiled\DetailInfoUI\ResolveSealMasterStatText.original.c","s_SEALMASTER_STATE_CT_01ad74d8","01ad74d8","SEALMASTER_STATE_CT","copied-c-symbol"
"decompiled\DetailInfoUI\ResolveSealMasterStatText.original.c","s_SEALMASTER_STATE_BL_01ad74ec","01ad74ec","SEALMASTER_STATE_BL","copied-c-symbol"
"decompiled\DetailInfoUI\ResolveSealMasterStatText.original.c","s_SEALMASTER_STATE_HP_01ad7500","01ad7500","SEALMASTER_STATE_HP","copied-c-symbol"
"decompiled\DetailInfoUI\ResolveSealMasterStatText.original.c","s_SEALMASTER_STATE_EV_01ad7514","01ad7514","SEALMASTER_STATE_EV","copied-c-symbol"
"decompiled\DetailInfoUI\ResolveSealMasterStatText.original.c","s_SEALMASTER_STATE_DS_01ae32e4","01ae32e4","SEALMASTER_STATE_DS","copied-c-symbol"
"decompiled\DetailInfoUI\ResolveSealMasterStatText.original.c","s_SEALMASTER_STATE_HT_01ae3314","01ae3314","SEALMASTER_STATE_HT","copied-c-symbol"
"decompiled\DetailInfoUI\ResolveSealMasterStatText.original.c","s_SEALMASTER_STATE_AS_01ae3328","01ae3328","SEALMASTER_STATE_AS","copied-c-symbol"
"decompiled\DetailInfoUI\ResolveSealMasterStatText.original.c","s_SEALMASTER_STATE_DE_01ae333c","01ae333c","SEALMASTER_STATE_DE","copied-c-symbol"
"decompiled\Shared\BuildSharedDetailRewardPanel.original.c","s_DetailInfo_DetailInfo_bg_b_tga_01ae2e20","01ae2e20","DetailInfo\DetailInfo_bg_b.tga","copied-c-symbol"
"decompiled\Shared\BuildSharedDetailRewardPanel.original.c","s_UNION_REWARD_01ae3eb4","01ae3eb4","UNION_REWARD","copied-c-symbol"
"decompiled\StatusUI\CreateDigimonStatusHelpUI.original.c","s_DigimonStatusUI_Help_01ae9d40","01ae9d40","DigimonStatusUI_Help","copied-c-symbol"
"decompiled\StatusUI\CreateDigimonStatusUI.original.c","s_DigimonStatusUI_01ae9d58","01ae9d58","DigimonStatusUI","copied-c-symbol"
"decompiled\StatusUI\CreateTamerStatusUI.original.c","s_TamerStatusUI_01ae9d30","01ae9d30","TamerStatusUI","copied-c-symbol"
