"OriginalFunction","FunctionAddress","CopiedFile","RefAddress","TargetAddress","TargetSymbol","Value"
"FUN_011d3b00","011d3b00","decompiled\DetailInfoUI\BuildDigimonSkillSection.original.c","011d409d","01ace96c","u_%d/%d_01ace96c","%d/%d"
"FUN_011d3b00","011d3b00","decompiled\DetailInfoUI\BuildDigimonSkillSection.original.c","011d3bc1","01adda60","s_ENCY_SKILL_INFO_01adda60","ENCY_SKILL_INFO"
"FUN_011d3b00","011d3b00","decompiled\DetailInfoUI\BuildDigimonSkillSection.original.c","011d3dbe","01ae2c40","s_EquipSystem\Upgrade_Slot.tga_01ae2c40","EquipSystem\Upgrade_Slot.tga"
"FUN_011d3b00","011d3b00","decompiled\DetailInfoUI\BuildDigimonSkillSection.original.c","011d3dec","01ae2c40","s_EquipSystem\Upgrade_Slot.tga_01ae2c40","EquipSystem\Upgrade_Slot.tga"
"FUN_011d65d0","011d65d0","decompiled\DetailInfoUI\BuildEquipmentDetailList.original.c","011d6931","01ad56c4","s_Mail\Mail_List_Box.tga_01ad56c4","Mail\Mail_List_Box.tga"
"FUN_011d65d0","011d65d0","decompiled\DetailInfoUI\BuildEquipmentDetailList.original.c","011d6a96","01adc654","s_CommonUI\NinePatch\center_gradie_01adc654","CommonUI\NinePatch\center_gradient2.tga"
"FUN_011d65d0","011d65d0","decompiled\DetailInfoUI\BuildEquipmentDetailList.original.c","011d6ac1","01adc654","s_CommonUI\NinePatch\center_gradie_01adc654","CommonUI\NinePatch\center_gradient2.tga"
"FUN_011d65d0","011d65d0","decompiled\DetailInfoUI\BuildEquipmentDetailList.original.c","011d664d","01ae2e58","s_INVENTORY_FILTER_TEXT_EQUIP_01ae2e58","INVENTORY_FILTER_TEXT_EQUIP"
"FUN_011d65d0","011d65d0","decompiled\DetailInfoUI\BuildEquipmentDetailList.original.c","011d66c4","01ae2e74","s_DETAIL_INFO_EQUIP_LV_01ae2e74","DETAIL_INFO_EQUIP_LV"
"FUN_011d65d0","011d65d0","decompiled\DetailInfoUI\BuildEquipmentDetailList.original.c","011d67fb","01ae2e8c","s_DetailInfo\Infinite_Match_window_01ae2e8c","DetailInfo\Infinite_Match_window_Test04.tga"
"FUN_011d65d0","011d65d0","decompiled\DetailInfoUI\BuildEquipmentDetailList.original.c","011d6832","01ae2e8c","s_DetailInfo\Infinite_Match_window_01ae2e8c","DetailInfo\Infinite_Match_window_Test04.tga"
"FUN_011d65d0","011d65d0","decompiled\DetailInfoUI\BuildEquipmentDetailList.original.c","011d6735","01ae2eb8","s_DETAIL_INFO_EQUIP_NAME_01ae2eb8","DETAIL_INFO_EQUIP_NAME"
"FUN_011d65d0","011d65d0","decompiled\DetailInfoUI\BuildEquipmentDetailList.original.c","011d7025","01ae2ed0","s_DetailInfo\tamerstatus_win_01_bg_01ae2ed0","DetailInfo\tamerstatus_win_01_bg.tga"
"FUN_011d65d0","011d65d0","decompiled\DetailInfoUI\BuildEquipmentDetailList.original.c","011d6e86","01ae2ef8","s_DetailInfo\Infinite_Match_window_01ae2ef8","DetailInfo\Infinite_Match_window_Test05.tga"
"FUN_011d65d0","011d65d0","decompiled\DetailInfoUI\BuildEquipmentDetailList.original.c","011d6eb7","01ae2ef8","s_DetailInfo\Infinite_Match_window_01ae2ef8","DetailInfo\Infinite_Match_window_Test05.tga"
"FUN_011d61d0","011d61d0","decompiled\DetailInfoUI\BuildEquipmentPanel.original.c","011d6236","01ae2e08","s_DETAIL_INFO_EQUIP_TOP_01ae2e08","DETAIL_INFO_EQUIP_TOP"
"FUN_011d61d0","011d61d0","decompiled\DetailInfoUI\BuildEquipmentPanel.original.c","011d6218","01ae2e20","s_DetailInfo\DetailInfo_bg_b.tga_01ae2e20","DetailInfo\DetailInfo_bg_b.tga"
"FUN_011dc7f0","011dc7f0","decompiled\DetailInfoUI\BuildEquippedAchievementSection.original.c","011dca07","01ace904","s_DETAIL_INFO_NONE_01ace904","DETAIL_INFO_NONE"
"FUN_011dc7f0","011dc7f0","decompiled\DetailInfoUI\BuildEquippedAchievementSection.original.c","011dc89d","01ad8e18","s_TacticsHouse\Storage_M_field.tga_01ad8e18","TacticsHouse\Storage_M_field.tga"
"FUN_011dc7f0","011dc7f0","decompiled\DetailInfoUI\BuildEquippedAchievementSection.original.c","011dc8c8","01ad8e18","s_TacticsHouse\Storage_M_field.tga_01ad8e18","TacticsHouse\Storage_M_field.tga"
"FUN_011dc7f0","011dc7f0","decompiled\DetailInfoUI\BuildEquippedAchievementSection.original.c","011dcb32","01ae3474","s_DETAIL_INFO_ACHIEVE_01ae3474","DETAIL_INFO_ACHIEVE"
"FUN_011da100","011da100","decompiled\DetailInfoUI\BuildSealMasterCloseButton.original.c","011da11f","01ad3144","s_CommonUI\CommonUI_close.tga_01ad3144","CommonUI\CommonUI_close.tga"
"FUN_011da000","011da000","decompiled\DetailInfoUI\BuildSealMasterPanel.original.c","011da048","01ae32c4","s_DetailInfo\Detailinfo_bg_a.tga_01ae32c4","DetailInfo\Detailinfo_bg_a.tga"
"FUN_011da000","011da000","decompiled\DetailInfoUI\BuildSealMasterPanel.original.c","011da066","01ae32f8","s_MAINBAR_MEMU_SEAL_MASTER_01ae32f8","MAINBAR_MEMU_SEAL_MASTER"
"FUN_011db840","011db840","decompiled\DetailInfoUI\BuildTamerAttributePanel.original.c","011dbab8","01ad4b4c","s_Icon\Mask_Over.dds_01ad4b4c","Icon\Mask_Over.dds"
"FUN_011db840","011db840","decompiled\DetailInfoUI\BuildTamerAttributePanel.original.c","011dbad1","01ad4b4c","s_Icon\Mask_Over.dds_01ad4b4c","Icon\Mask_Over.dds"
"FUN_011db840","011db840","decompiled\DetailInfoUI\BuildTamerAttributePanel.original.c","011db8e3","01ae3438","s_DetailInfo\TamerStatus_win_02_bg_01ae3438","DetailInfo\TamerStatus_win_02_bg.tga"
"FUN_011db840","011db840","decompiled\DetailInfoUI\BuildTamerAttributePanel.original.c","011db90b","01ae3438","s_DetailInfo\TamerStatus_win_02_bg_01ae3438","DetailInfo\TamerStatus_win_02_bg.tga"
"FUN_011daec0","011daec0","decompiled\DetailInfoUI\BuildTamerDetailRoot.original.c","011daf1e","01ae2b68","s_DetailInfo\TamerStatus_Win_03_bg_01ae2b68","DetailInfo\TamerStatus_Win_03_bg.tga"
"FUN_011daec0","011daec0","decompiled\DetailInfoUI\BuildTamerDetailRoot.original.c","011daf5a","01ae33fc","s_DetailInfo\TamerStatus_Win_04_bg_01ae33fc","DetailInfo\TamerStatus_Win_04_bg.tga"
"FUN_011dc210","011dc210","decompiled\DetailInfoUI\BuildTamerDigimonPreviewSection.original.c","011dc685","01ac5990","s_COMMON_TXT_SHORT_LEVEL_01ac5990","COMMON_TXT_SHORT_LEVEL"
"FUN_011dc210","011dc210","decompiled\DetailInfoUI\BuildTamerDigimonPreviewSection.original.c","011dc3d0","01ae2b90","s_DetailInfo\TamerStatus_Digimon_T_01ae2b90","DetailInfo\TamerStatus_Digimon_Tamer.tga"
"FUN_011dc210","011dc210","decompiled\DetailInfoUI\BuildTamerDigimonPreviewSection.original.c","011dc3fb","01ae2b90","s_DetailInfo\TamerStatus_Digimon_T_01ae2b90","DetailInfo\TamerStatus_Digimon_Tamer.tga"
"FUN_011dc210","011dc210","decompiled\DetailInfoUI\BuildTamerDigimonPreviewSection.original.c","011dc2c3","01ae2bbc","s_DetailInfo\Storage_M_field_a.tga_01ae2bbc","DetailInfo\Storage_M_field_a.tga"
"FUN_011dc210","011dc210","decompiled\DetailInfoUI\BuildTamerDigimonPreviewSection.original.c","011dc2ee","01ae2bbc","s_DetailInfo\Storage_M_field_a.tga_01ae2bbc","DetailInfo\Storage_M_field_a.tga"
"FUN_011db440","011db440","decompiled\DetailInfoUI\BuildTamerEquipmentSection.original.c","011db5b2","01ad83b4","s_DMG_SKINS\Mini_Out_btn_a.tga_01ad83b4","DMG_SKINS\Mini_Out_btn_a.tga"
