"Function","Entry","RefAddr","Target","Value","Copied"
"FUN_011d65d0","011d65d0","011d6eb7","01ae2ef8","DetailInfo\Infinite_Match_window_Test05.tga","decompiled\DetailInfoUI\BuildEquipmentDetailList.original.c"
"FUN_011d82a0","011d82a0","011d82c0","01ae2fc4","DetailInfo\Autocrop_OFF_Btn.bmp","decompiled\DetailInfoUI\BuildVisibilityToggleButton.original.c"
"FUN_011d82a0","011d82a0","011d82df","01ae2fc4","DetailInfo\Autocrop_OFF_Btn.bmp","decompiled\DetailInfoUI\BuildVisibilityToggleButton.original.c"
"FUN_011d82a0","011d82a0","011d82d3","01ae2fe4","DetailInfo\Autocrop_ON_Btn.bmp","decompiled\DetailInfoUI\BuildVisibilityToggleButton.original.c"
"FUN_011d82a0","011d82a0","011d82df","01ae2fe4","DetailInfo\Autocrop_ON_Btn.bmp","decompiled\DetailInfoUI\BuildVisibilityToggleButton.original.c"
"FUN_011da000","011da000","011da048","01ae32c4","DetailInfo\Detailinfo_bg_a.tga","decompiled\DetailInfoUI\BuildSealMasterPanel.original.c"
"FUN_011da000","011da000","011da066","01ae32f8","MAINBAR_MEMU_SEAL_MASTER","decompiled\DetailInfoUI\BuildSealMasterPanel.original.c"
"FUN_011da4b0","011da4b0","011da51b","01ad7490","SEALMASTER_STATE_AT","decompiled\DetailInfoUI\ResolveSealMasterStatText.original.c"
"FUN_011da4b0","011da4b0","011da537","01ad74d8","SEALMASTER_STATE_CT","decompiled\DetailInfoUI\ResolveSealMasterStatText.original.c"
"FUN_011da4b0","011da4b0","011da564","01ad74ec","SEALMASTER_STATE_BL","decompiled\DetailInfoUI\ResolveSealMasterStatText.original.c"
"FUN_011da4b0","011da4b0","011da4ce","01ad7500","SEALMASTER_STATE_HP","decompiled\DetailInfoUI\ResolveSealMasterStatText.original.c"
"FUN_011da4b0","011da4b0","011da575","01ad7514","SEALMASTER_STATE_EV","decompiled\DetailInfoUI\ResolveSealMasterStatText.original.c"
"FUN_011da4b0","011da4b0","011da545","01ae3314","SEALMASTER_STATE_HT","decompiled\DetailInfoUI\ResolveSealMasterStatText.original.c"
"FUN_011da4b0","011da4b0","011da529","01ae3328","SEALMASTER_STATE_AS","decompiled\DetailInfoUI\ResolveSealMasterStatText.original.c"
"FUN_011da4b0","011da4b0","011da553","01ae333c","SEALMASTER_STATE_DE","decompiled\DetailInfoUI\ResolveSealMasterStatText.original.c"
"caseD_1","011da506","011da50d","01ae32e4","SEALMASTER_STATE_DS","decompiled\DetailInfoUI\ResolveSealMasterDsTextCase.original.c"
"FUN_011daec0","011daec0","011daf1e","01ae2b68","DetailInfo\TamerStatus_Win_03_bg.tga","decompiled\DetailInfoUI\BuildTamerDetailRoot.original.c"
"FUN_011daec0","011daec0","011daf5a","01ae33fc","DetailInfo\TamerStatus_Win_04_bg.tga","decompiled\DetailInfoUI\BuildTamerDetailRoot.original.c"
"FUN_011db440","011db440","011db67d","01ae32f8","MAINBAR_MEMU_SEAL_MASTER","decompiled\DetailInfoUI\BuildTamerEquipmentSection.original.c"
"FUN_011db440","011db440","011db68b","01ae3460","DETAIL_INFO_EQUIP","decompiled\DetailInfoUI\BuildTamerEquipmentSection.original.c"
"FUN_011db840","011db840","011db8e3","01ae3438","DetailInfo\TamerStatus_win_02_bg.tga","decompiled\DetailInfoUI\BuildTamerAttributePanel.original.c"
"FUN_011db840","011db840","011db90b","01ae3438","DetailInfo\TamerStatus_win_02_bg.tga","decompiled\DetailInfoUI\BuildTamerAttributePanel.original.c"
"FUN_011dbca0","011dbca0","011dbd5e","01ae3424","DETAIL_INFO_DATA","decompiled\DetailInfoUI\BuildTamerObtainedAttributes.original.c"
"FUN_011dc210","011dc210","011dc3d0","01ae2b90","DetailInfo\TamerStatus_Digimon_Tamer.tga","decompiled\DetailInfoUI\BuildTamerDigimonPreviewSection.original.c"
"FUN_011dc210","011dc210","011dc3fb","01ae2b90","DetailInfo\TamerStatus_Digimon_Tamer.tga","decompiled\DetailInfoUI\BuildTamerDigimonPreviewSection.original.c"
"FUN_011dc210","011dc210","011dc2c3","01ae2bbc","DetailInfo\Storage_M_field_a.tga","decompiled\DetailInfoUI\BuildTamerDigimonPreviewSection.original.c"
"FUN_011dc210","011dc210","011dc2ee","01ae2bbc","DetailInfo\Storage_M_field_a.tga","decompiled\DetailInfoUI\BuildTamerDigimonPreviewSection.original.c"
"FUN_011dc7f0","011dc7f0","011dca07","01ace904","DETAIL_INFO_NONE","decompiled\DetailInfoUI\BuildEquippedAchievementSection.original.c"
"FUN_011dc7f0","011dc7f0","011dcb32","01ae3474","DETAIL_INFO_ACHIEVE","decompiled\DetailInfoUI\BuildEquippedAchievementSection.original.c"
"FUN_011dd050","011dd050","011dd126","01ac58e4","DETAIL_INFO_ELEDMENT_DAMAGE","decompiled\DetailInfoUI\ResolveDetailInfoStatText.original.c"
"FUN_011dd050","011dd050","011dd104","01ae34d0","DETAIL_INFO_CRIDAMAGE","decompiled\DetailInfoUI\ResolveDetailInfoStatText.original.c"
"FUN_011dd050","011dd050","011dd0f3","01ae34e8","DETAIL_INFO_SCD","decompiled\DetailInfoUI\ResolveDetailInfoStatText.original.c"
"FUN_011dd050","011dd050","011dd115","01ae351c","DETAIL_INFO_SD","decompiled\DetailInfoUI\ResolveDetailInfoStatText.original.c"
"FUN_011ed0a0","011ed0a0","011ed10f","01ae2e20","DetailInfo\DetailInfo_bg_b.tga","decompiled\Shared\BuildSharedDetailRewardPanel.original.c"
