"FromEntry","CleanFunction","FromAddress","DataAddress","Symbol","Value","RefType"
"011b9f70","DigiSummonUiShared_011b9f70","011b9fae","01ae1b00","s_System\DigiCombine_Gacha_Progres_01ae1b00","System\DigiCombine_Gacha_Progress.wav","DATA"
"011ba1e0","DigiSummonUiShared_011ba1e0","011ba2ec","01ae1b00","s_System\DigiCombine_Gacha_Progres_01ae1b00","System\DigiCombine_Gacha_Progress.wav","DATA"
"011ba450","DigiSummonUiShared_011ba450","011ba47a","01ae1a84","s_DigiCombine\DigiCombine_CardBack_01ae1a84","DigiCombine\DigiCombine_CardBack.dds","DATA"
"011ba600","DigiSummonUiShared_011ba600","011ba711","01ae1b00","s_System\DigiCombine_Gacha_Progres_01ae1b00","System\DigiCombine_Gacha_Progress.wav","DATA"
"011ba730","DigiSummonUiShared_011ba730","011ba744","01ae1a84","s_DigiCombine\DigiCombine_CardBack_01ae1a84","DigiCombine\DigiCombine_CardBack.dds","DATA"
"011ba730","DigiSummonUiShared_011ba730","011ba832","01ae1b74","s_System\DigiCombine_Gacha_Change._01ae1b74","System\DigiCombine_Gacha_Change.wav","DATA"
"011ba870","DigiSummonUiShared_011ba870","011ba952","01ae106c","s_DigiCombine\DigiCombine_CardFron_01ae106c","DigiCombine\DigiCombine_CardFront.dds","DATA"
"011ba9b0","DigiSummonUiShared_011ba9b0","011ba9bd","01ae106c","s_DigiCombine\DigiCombine_CardFron_01ae106c","DigiCombine\DigiCombine_CardFront.dds","DATA"
"011baa40","DigiSummonUiShared_011baa40","011baa85","01ae1b50","s_System\DigiCombine_Gacha_Rare.wa_01ae1b50","System\DigiCombine_Gacha_Rare.wav","DATA"
"011baa40","DigiSummonUiShared_011baa40","011baab6","01ae1bc0","s_System\DigiCombine_Gacha_Default_01ae1bc0","System\DigiCombine_Gacha_Default.wav","DATA"
"011bab00","SelectDigitalDrawResultCardByRank","011babf0","01ae1b28","s_DigiCombine\DigiCombine_Gacha_En_01ae1b28","DigiCombine\DigiCombine_Gacha_End_A.dds","DATA"
"011bab00","SelectDigitalDrawResultCardByRank","011babf0","01ae1b98","s_DigiCombine\DigiCombine_Gacha_En_01ae1b98","DigiCombine\DigiCombine_Gacha_End_N.dds","DATA"
"011bab00","SelectDigitalDrawResultCardByRank","011babf0","01ae1be8","s_DigiCombine\DigiCombine_Gacha_En_01ae1be8","DigiCombine\DigiCombine_Gacha_End_S.dds","DATA"
"011bab00","SelectDigitalDrawResultCardByRank","011babf0","01ae1c10","s_DigiCombine\DigiCombine_Gacha_En_01ae1c10","DigiCombine\DigiCombine_Gacha_End_Aplus.dds","DATA"
"011bab00","SelectDigitalDrawResultCardByRank","011babf0","01ae1c3c","s_DigiCombine\DigiCombine_Gacha_En_01ae1c3c","DigiCombine\DigiCombine_Gacha_End_SS.dds","DATA"
"011bab00","SelectDigitalDrawResultCardByRank","011bab96","01ae1c68","s_DigiCombine\DigiCombine_Gacha_En_01ae1c68","DigiCombine\DigiCombine_Gacha_End_Splus.dds","DATA"
"011bab00","SelectDigitalDrawResultCardByRank","011babf0","01ae1c94","s_DigiCombine\DigiCombine_Gacha_En_01ae1c94","DigiCombine\DigiCombine_Gacha_End_SSS.dds","DATA"
"011bab00","SelectDigitalDrawResultCardByRank","011babae","01ae1cc0","s_DigiCombine\DigiCombine_Gacha_En_01ae1cc0","DigiCombine\DigiCombine_Gacha_End_SSplus.dds","DATA"
"011bab00","SelectDigitalDrawResultCardByRank","011babd2","01ae1cf0","s_DigiCombine\DigiCombine_Gacha_En_01ae1cf0","DigiCombine\DigiCombine_Gacha_End_U.dds","DATA"
"011bab00","SelectDigitalDrawResultCardByRank","011babf0","01ae1d18","s_DigiCombine\DigiCombine_Gacha_En_01ae1d18","DigiCombine\DigiCombine_Gacha_End_SSSplus.dds","DATA"
"011bab00","SelectDigitalDrawResultCardByRank","011babf0","01ae1d70","s_DigiCombine\DigiCombine_Gacha_En_01ae1d70","DigiCombine\DigiCombine_Gacha_End_Uplus.dds","DATA"
