"Function","Entry","RefAddr","Target","Value","Copied"
"FUN_011ab290","011ab290","011ab309","01ae0ee8","inventory\Invensort.tga","decompiled\ExtraInventoryUI\Categories\BuildMaterialInventoryCategory.original.c"
"FUN_011ab290","011ab290","011ab423","01ae1354","EXTRA_INVEN_MATERIAL_BTN_ALLGET","decompiled\ExtraInventoryUI\Categories\BuildMaterialInventoryCategory.original.c"
"FUN_011ab870","011ab870","011ab9d4","01ae0f60","SealMaster\sealmaster_highlight.tga","NO"
"FUN_011ac950","011ac950","011aca3f","01ae1388","EXTRA_INVEN_SEAL_ALREADY_MASTERED","decompiled\ExtraInventoryUI\Seal\HandleSealAlreadyMasteredMessage.original.c"
"FUN_011ad850","011ad850","011ad8c9","01ae0ee8","inventory\Invensort.tga","decompiled\ExtraInventoryUI\Categories\BuildSealInventoryCategory.original.c"
"FUN_011ad850","011ad850","011ad9e3","01ae13c8","EXTRA_INVEN_SEAL_BTN_ALLGET","decompiled\ExtraInventoryUI\Categories\BuildSealInventoryCategory.original.c"
"FUN_011adee0","011adee0","011ae066","01ae0f60","SealMaster\sealmaster_highlight.tga","decompiled\ExtraInventoryUI\Seal\BuildSealInventoryGrid.original.c"
"FUN_011ae540","011ae540","011ae880","01ad7abc","SealMaster\btn_combobox.tga","decompiled\ExtraInventoryUI\Seal\BuildSealStatFilterDropdown.original.c"
"FUN_011ae540","011ae540","011ae890","01ad7b14","SealMaster\dropdown_list_0","decompiled\ExtraInventoryUI\Seal\BuildSealStatFilterDropdown.original.c"
"FUN_011ae540","011ae540","011ae8e7","01ae13ac","SEALMASTER_STATE_COMBO_ALL","decompiled\ExtraInventoryUI\Seal\BuildSealStatFilterDropdown.original.c"
"FUN_011ae540","011ae540","011aea17","01ae13e4","SEALMASTER_STATE_COMBO_DS","decompiled\ExtraInventoryUI\Seal\BuildSealStatFilterDropdown.original.c"
"FUN_011ae540","011ae540","011ae984","01ae1400","SEALMASTER_STATE_COMBO_HP","decompiled\ExtraInventoryUI\Seal\BuildSealStatFilterDropdown.original.c"
"FUN_011ae540","011ae540","011aeb3d","01ae141c","SEALMASTER_STATE_COMBO_AS","decompiled\ExtraInventoryUI\Seal\BuildSealStatFilterDropdown.original.c"
"FUN_011ae540","011ae540","011aeaaa","01ae1438","SEALMASTER_STATE_COMBO_AT","decompiled\ExtraInventoryUI\Seal\BuildSealStatFilterDropdown.original.c"
"FUN_011ae540","011ae540","011aec63","01ae1454","SEALMASTER_STATE_COMBO_HT","decompiled\ExtraInventoryUI\Seal\BuildSealStatFilterDropdown.original.c"
"FUN_011ae540","011ae540","011aebd0","01ae1470","SEALMASTER_STATE_COMBO_CT","decompiled\ExtraInventoryUI\Seal\BuildSealStatFilterDropdown.original.c"
"FUN_011ae540","011ae540","011aed89","01ae148c","SEALMASTER_STATE_COMBO_BL","decompiled\ExtraInventoryUI\Seal\BuildSealStatFilterDropdown.original.c"
"FUN_011ae540","011ae540","011aecf6","01ae14a8","SEALMASTER_STATE_COMBO_DE","decompiled\ExtraInventoryUI\Seal\BuildSealStatFilterDropdown.original.c"
"FUN_011ae540","011ae540","011aee1c","01ae14f4","SEALMASTER_STATE_COMBO_EV","decompiled\ExtraInventoryUI\Seal\BuildSealStatFilterDropdown.original.c"
"FUN_011af220","011af220","011af34a","01ae14c4","data\interface\SealMaster\sealmaster_bg_01.tga","NO"
"FUN_011afe00","011afe00","011afe2e","01ae104c","SealMaster\sealmaster_bg_01.tga","NO"
"FUN_011afe00","011afe00","011afe41","01ae1510","SealMaster\SealBack\sealmaster_bg_master.dds","NO"
"FUN_011afe00","011afe00","011afe54","01ae1540","SealMaster\SealBack\sealmaster_bg_normal.dds","NO"
"FUN_011b0b60","011b0b60","011b0bd9","01ae0ee8","inventory\Invensort.tga","decompiled\ExtraInventoryUI\Categories\BuildTicketInventoryCategory.original.c"
"FUN_011b0b60","011b0b60","011b0cf3","01ae1584","EXTRA_INVEN_TICKET_BTN_ALLGET","decompiled\ExtraInventoryUI\Categories\BuildTicketInventoryCategory.original.c"
"FUN_011b11b0","011b11b0","011b1314","01ae0fd0","SealMaster\Sealmaster_highlight.tga","NO"
"FUN_011b8ce0","011b8ce0","011b8e28","01ae0f60","SealMaster\sealmaster_highlight.tga","NO"
"FUN_011c3270","011c3270","011c334a","01ae0f60","SealMaster\sealmaster_highlight.tga","NO"
"FUN_011c4430","011c4430","011c460f","01ae2310","INVENTORY_FILTER_TEXT_NONE","NO"
"FUN_011c4af0","011c4af0","011c4c0d","01ae0f60","SealMaster\sealmaster_highlight.tga","NO"
"FUN_011c55f0","011c55f0","011c5710","01ae0f60","SealMaster\sealmaster_highlight.tga","NO"
"FUN_011c78e0","011c78e0","011c7a28","01ae0f60","SealMaster\sealmaster_highlight.tga","NO"
"FUN_011d65d0","011d65d0","011d664d","01ae2e58","INVENTORY_FILTER_TEXT_EQUIP","NO"
"FUN_011da4b0","011da4b0","011da51b","01ad7490","SEALMASTER_STATE_AT","NO"
"FUN_011da4b0","011da4b0","011da537","01ad74d8","SEALMASTER_STATE_CT","NO"
"FUN_011da4b0","011da4b0","011da564","01ad74ec","SEALMASTER_STATE_BL","NO"
"FUN_011da4b0","011da4b0","011da4ce","01ad7500","SEALMASTER_STATE_HP","NO"
"FUN_011da4b0","011da4b0","011da575","01ad7514","SEALMASTER_STATE_EV","NO"
"FUN_011da4b0","011da4b0","011da545","01ae3314","SEALMASTER_STATE_HT","NO"
"FUN_011da4b0","011da4b0","011da529","01ae3328","SEALMASTER_STATE_AS","NO"
"FUN_011da4b0","011da4b0","011da553","01ae333c","SEALMASTER_STATE_DE","NO"
"caseD_1","011da506","011da50d","01ae32e4","SEALMASTER_STATE_DS","NO"
"FUN_011dfa80","011dfa80","011e00d0","01ad059c","Inventory\Block.tga","NO"
"FUN_011e5110","011e5110","011e51aa","01ad059c","Inventory\Block.tga","NO"
"FUN_011ef680","011ef680","011ef75c","01ae0fd0","SealMaster\Sealmaster_highlight.tga","NO"
"FUN_011fd5f0","011fd5f0","011fd6ca","01ae0f60","SealMaster\sealmaster_highlight.tga","NO"
"FUN_011fe570","011fe570","011fe665","01ae2310","INVENTORY_FILTER_TEXT_NONE","NO"
"FUN_011fea60","011fea60","011feb7d","01ae0f60","SealMaster\sealmaster_highlight.tga","NO"
"FUN_011ff560","011ff560","011ff680","01ae0f60","SealMaster\sealmaster_highlight.tga","NO"
"FUN_012010b0","012010b0","012011f8","01ae0f60","SealMaster\sealmaster_highlight.tga","NO"
"FUN_01248090","01248090","012499ee","01ae790c","SealMaster\common_scroll_btn_01.tga","NO"
"FUN_01248090","01248090","01249b15","01ae7954","SealMaster\common_scroll_bar_01.tga","NO"
"FUN_01248090","01248090","01249b40","01ae7954","SealMaster\common_scroll_bar_01.tga","NO"
"FUN_01248090","01248090","01249a67","01ae7978","SealMaster\common_scroll_btn_02.tga","NO"
"FUN_01248090","01248090","01249d2a","01ae799c","SealMaster\common_scroll_bar_03.tga","NO"
"FUN_01248090","01248090","01249d55","01ae799c","SealMaster\common_scroll_bar_03.tga","NO"
"FUN_01248090","01248090","01249c21","01ae79c0","SealMaster\common_scroll_bar_02.tga","NO"
"FUN_01248090","01248090","01249c4c","01ae79c0","SealMaster\common_scroll_bar_02.tga","NO"
"FUN_01248090","01248090","01249e44","01ae79e4","SealMaster\common_scroll_bg_02.tga","NO"
"FUN_01248090","01248090","01249e6c","01ae79e4","SealMaster\common_scroll_bg_02.tga","NO"
"FUN_0125f9f0","0125f9f0","0125fd31","01ad7b14","SealMaster\dropdown_list_0","NO"
"FUN_01283910","01283910","01284c66","01ae98a8","Inventory","NO"
"FUN_01289780","01289780","0128994d","01ae9ac8","SealMaster","NO"
"FUN_0128ef50","0128ef50","0128f024","01aea07c","ExtraInventoryUI","decompiled\ExtraInventoryUI\CreateExtraInventoryUI.original.c"
"FUN_012ac190","012ac190","012ac4c5","01ad7abc","SealMaster\btn_combobox.tga","NO"
"FUN_012ac190","012ac190","012ac4d5","01ad7b14","SealMaster\dropdown_list_0","NO"
"FUN_012faae0","012faae0","012fab44","01ae2310","INVENTORY_FILTER_TEXT_NONE","decompiled\ExtraInventoryUI\BuildNewInventoryTabButton.original.c"
"FUN_012faae0","012faae0","012facab","01ae2e58","INVENTORY_FILTER_TEXT_EQUIP","decompiled\ExtraInventoryUI\BuildNewInventoryTabButton.original.c"
"FUN_012faae0","012faae0","012fad75","01aea9f8","INVENTORY_FILTER_TEXT_CONSUME","decompiled\ExtraInventoryUI\BuildNewInventoryTabButton.original.c"
